file_name,title,url,title_clean
Bu_06-1.pdf,1909/1910 Bulletin: General Catalogue (6-1),http://archives.nd.edu/bulletin/Bu_06-1.pdf,1909-1910-Bulletin-General-Catalogue-6-1
Bu_06-2.pdf,1910-Oct Bulletin: Residence Halls (6-2),http://archives.nd.edu/bulletin/Bu_06-2.pdf,1910-Oct-Bulletin-Residence-Halls-6-2
Bu_06-3.pdf,1911-Jan Bulletin: Law Department (6-3),http://archives.nd.edu/bulletin/Bu_06-3.pdf,1911-Jan-Bulletin-Law-Department-6-3
Bu_06-4.pdf,1911-Apr Bulletin: Department of Pharmacy (6-4),http://archives.nd.edu/bulletin/Bu_06-4.pdf,1911-Apr-Bulletin-Department-of-Pharmacy-6-4
Bu_07-1.pdf,1910/1911 Bulletin: General Catalogue (7-1),http://archives.nd.edu/bulletin/Bu_07-1.pdf,1910-1911-Bulletin-General-Catalogue-7-1
Bu_07-2.pdf,1911-Jul Bulletin: St. Edward's (7-2),http://archives.nd.edu/bulletin/Bu_07-2.pdf,1911-Jul-Bulletin-St-Edward-s-7-2
Bu_07-3.pdf,1912-Jan Bulletin: [Articles about Notre Dame by Arthur M. Evans and Rev. John Talbot Smith] (7-3),http://archives.nd.edu/bulletin/Bu_07-3.pdf,1912-Jan-Bulletin-Articles-about-Notre-Dame-by-Arthur-M-Evans-and-Rev-John-Talbot-Smith-7-3
Bu_07-4.pdf,1911/1912 Bulletin: General Catalogue (7-4),http://archives.nd.edu/bulletin/Bu_07-4.pdf,1911-1912-Bulletin-General-Catalogue-7-4
Bu_08-1.pdf,1912-Jul Bulletin: [Commencement] (8-1),http://archives.nd.edu/bulletin/Bu_08-1.pdf,1912-Jul-Bulletin-Commencement-8-1
Bu_08-2.pdf,1912-Oct Bulletin: Engineering Number (8-2),http://archives.nd.edu/bulletin/Bu_08-2.pdf,1912-Oct-Bulletin-Engineering-Number-8-2
Bu_08-3.pdf,1913-Jan Bulletin: St. Edward's (8-3),http://archives.nd.edu/bulletin/Bu_08-3.pdf,1913-Jan-Bulletin-St-Edward-s-8-3
Bu_08-4.pdf,1912/1913 Bulletin: General Catalogue (8-4),http://archives.nd.edu/bulletin/Bu_08-4.pdf,1912-1913-Bulletin-General-Catalogue-8-4
Bu_09-1.pdf,1913-Jul Bulletin: School of Journalism (9-1),http://archives.nd.edu/bulletin/Bu_09-1.pdf,1913-Jul-Bulletin-School-of-Journalism-9-1
Bu_09-2.pdf,1913-Oct Bulletin: Residence Halls (9-2),http://archives.nd.edu/bulletin/Bu_09-2.pdf,1913-Oct-Bulletin-Residence-Halls-9-2
Bu_09-3.pdf,1914-Jan Bulletin: Journalism Number (9-3),http://archives.nd.edu/bulletin/Bu_09-3.pdf,1914-Jan-Bulletin-Journalism-Number-9-3
Bu_09-4.pdf,1913/1914 Bulletin: General Catalogue (9-4),http://archives.nd.edu/bulletin/Bu_09-4.pdf,1913-1914-Bulletin-General-Catalogue-9-4
